"Timestamp","Gender","Age Range","What types of jewelry do you wear regularly?","What do you look for in your jewelry? Pick up to TWO options.","Which style below best describes your earring design preference? ","What types of jewelry do you mainly purchase?","How much are you comfortable spending on fashion earrings?","How much are you comfortable spending on fine / semi-fine / demi-fine earrings?","How much are you comfortable spending on domestic shipping?","Most of my jewelry pieces are bought","I often shop for jewelry online","I prefer purchasing jewelry from a website instead of an Instagram store ","I take good care of my fashion jewelry and pieces that tarnish easily ","Thank you for completing this survey! Please enter your Instagram username below:",""
"2020/11/21 6:02:26 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Watches","Style / Design;Trend","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 40 - 60","RM 5 - 7","Planned","3","3","2","oqueniee_e",""
"2020/11/21 6:06:01 PM GMT+8","Female","18 - 23","Earrings","Style / Design;Quality;Comfort","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","Above RM 80","RM 5 - 7","Implusively / Unplanned","4","2","4","hyeyx",""
"2020/11/21 6:07:18 PM GMT+8","Female","Under 18","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Anklets","Style / Design;Trend;Price","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","Below RM 20","RM 5 - 7","Implusively / Unplanned","4","3","3","_kiro.m ",""
"2020/11/21 6:07:35 PM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design","Elegant","None of the above","I do not purchase fashion earrings at all","I do not purchase fine / semi-fine / demi-fine earrings at all","RM 5 - 7","Planned","5","4","5","@lennyejg",""
"2020/11/21 6:07:42 PM GMT+8","Female","30+","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Quality","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 20 - 40","Below RM5","Implusively / Unplanned","4","3","3","yeelian88 ",""
"2020/11/21 6:09:15 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Watches","Style / Design;Trend","Minimal, Simple","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","RM 20 - 30","RM 40 - 60","RM 5 - 7","Implusively / Unplanned","5","1","3","@_kai_sian_",""
"2020/11/21 6:24:43 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Quality;Price","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","4","2","4","kathytsai_43",""
"2020/11/21 6:39:56 PM GMT+8","Female","30+","Earrings;Bracelets / Cuffs","Style / Design;Trend;Quality","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 20 - 40","Below RM5","Implusively / Unplanned","4","3","3","@mumsgather",""
"2020/11/21 6:42:54 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Bracelets / Cuffs;Watches;Nose ring","Comfort;Craftmanship","Statement, Bold","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 20 - 30","RM 40 - 60","RM 5 - 7","Implusively / Unplanned","4","2","5","_strawberry_sundae",""
"2020/11/21 6:44:23 PM GMT+8","Female","30+","Earrings","Style / Design;Price","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 20 - 40","Below RM5","Implusively / Unplanned","3","3","5","Sasha.Tan",""
"2020/11/21 6:53:27 PM GMT+8","Female","24 - 29","Earrings;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Trend;Quality;Comfort;Price;Designer / Brand","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","Below RM 20","Below RM5","Implusively / Unplanned","5","1","5","rachellee0426",""
"2020/11/21 7:00:12 PM GMT+8","Female","30+","Earrings;Watches","Style / Design;Comfort","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 40 - 60","RM 5 - 7","Implusively / Unplanned","1","3","1","@jrupini",""
"2020/11/21 7:36:17 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Trend","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 40 - 60","Below RM5","Implusively / Unplanned","5","2","4","@Ywaith01 ",""
